Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Unlimited Data,Phone Service,Streaming TV,Streaming Movies,Streaming Music,Premium Tech Support,Offer,Customer ID
,Yes,DSL,No,Yes,No,Yes,No,No,No,No,Yes,None,5882-CMAZQ
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Offer D,5883-GTGVD
Yes,No,,,,,,Yes,,,,,None,5884-FBCTL
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,5884-GCYMI
Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,Yes,Yes,None,5886-VLQVU
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Offer B,5887-IKKYO
Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,No,No,Offer B,5889-JTMUL
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Yes,No,Offer D,5889-LFOLL
No,No,,,,,,Yes,,,,,None,5893-KCLGT
No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,5893-PYOLZ
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,5895-QSXOD
No,Yes,Cable,No,No,Yes,Yes,Yes,No,No,No,No,None,5896-NPFWW
Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,None,5897-ZYEKH
Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Offer C,5898-IGSLP
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,No,Offer D,5899-MQZZL
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,None,5899-OUVKV
No,No,,,,,,Yes,,,,,None,5902-WBLSE
No,No,,,,,,Yes,,,,,None,5906-BFOZT
No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,No,Yes,None,5906-CVLHP
Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,None,5906-DVAPM
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,5908-QMGOE
No,Yes,DSL,No,No,No,Yes,Yes,No,Yes,Yes,No,None,5909-ECHUI
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No,Yes,None,5913-INRQV
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,Yes,None,5914-DVBWJ
No,No,,,,,,Yes,,,,,None,5914-GXMDA
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,5914-XRFQB
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,None,5915-ANOEI
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Offer B,5915-DGNVC
No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer E,5916-QEWPT
No,No,,,,,,Yes,,,,,None,5917-HBSDW
No,No,,,,,,Yes,,,,,None,5917-RYRMG
No,No,,,,,,Yes,,,,,Offer C,5918-VUKWP
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,None,5919-TMRGD
No,No,,,,,,Yes,,,,,None,5919-VCZYM
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Offer B,5921-NGYRH
Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Yes,Yes,No,Offer D,5922-ABDVO
No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,5923-GXUOC
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,None,5924-IFQTT
No,No,,,,,,Yes,,,,,None,5924-SNGKP
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,5928-QLDHB
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,None,5930-GBIWP
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,5931-FLJJF
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Yes,No,Offer D,5934-RMPOV
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,Offer D,5934-TSSAU
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,5935-FCCNB
Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,No,No,None,5937-EORGB
Yes,No,,,,,,Yes,,,,,Offer B,5939-SXWHM
Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,No,No,No,Offer D,5939-XAIXZ
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,5940-AHUHD
Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,Yes,No,None,5940-NFXKV
,Yes,Cable,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Offer B,5944-UGLLK
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer A,5945-AZYHT
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer D,5947-SGKCL
No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,No,No,None,5948-UJZLF
No,Yes,DSL,No,No,No,Yes,Yes,No,Yes,Yes,Yes,None,5949-EBSQK
No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,None,5949-HGVJL
No,Yes,Cable,No,Yes,No,Yes,Yes,Yes,No,No,No,None,5949-XIKAE
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,Offer D,5950-AAAGJ
No,Yes,Cable,No,Yes,Yes,No,Yes,Yes,No,Yes,No,None,5951-AOFIH
Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,None,5954-BDFSG
No,No,,,,,,Yes,,,,,None,5955-EPOAZ
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer D,5955-ERIHD
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,5956-VKDTT
Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Offer D,5956-YHHRX
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,No,Offer C,5959-BELXA
,Yes,DSL,No,No,No,Yes,No,No,No,No,Yes,Offer E,5960-MVTUK
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,Yes,No,None,5960-WPXQM
No,No,,,,,,Yes,,,,,Offer D,5961-VUSRV
Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer A,5965-GGPRW
Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,5966-EMAZU
Yes,No,,,,,,Yes,,,,,Offer B,5968-HYJRZ
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,None,5968-VXZLG
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,No,No,Offer A,5968-XQIVE
No,No,,,,,,Yes,,,,,Offer B,5970-GHJAW
Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,No,Yes,Offer B,5973-EJGDP
No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,None,5975-BAICR
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer D,5976-JCJRH
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Offer B,5977-CKHON
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,5980-BDHPY
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,5980-NOPLP
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer B,5981-ITEMU
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer C,5981-ZVXOT
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,None,5982-FPVQN
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer D,5982-PSMKW
Yes,No,,,,,,Yes,,,,,Offer B,5982-XMDEX
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Offer A,5985-BEHZK
Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer C,5985-TBABQ
No,No,,,,,,Yes,,,,,None,5986-WWXDV
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,5989-AXPUC
,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,None,5989-OMNJE
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Offer D,5989-PGKJB
No,No,,,,,,Yes,,,,,None,5993-BQHEA
No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,None,5993-JSUWV
Yes,No,,,,,,Yes,,,,,None,5995-LFTLE
No,Yes,Cable,Yes,No,No,Yes,Yes,No,No,No,Yes,None,5995-OIGLP
Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,None,5995-SNNEW
No,No,,,,,,Yes,,,,,Offer C,5995-WWKKG
No,No,,,,,,Yes,,,,,Offer E,5996-DAOQL
Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Offer A,5996-EBTKM
No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,None,5996-NRVXR
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,5997-OPVFA
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Offer B,5998-DZLYR
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,Yes,None,5998-VVEJY
,Yes,DSL,Yes,No,No,Yes,No,No,No,No,No,None,5999-LCXAO
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Yes,No,None,6000-APYLU
No,No,,,,,,Yes,,,,,None,6000-UKLWI
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,No,No,Offer C,6005-OBZPH
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,6007-TCTST
,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,None,6008-NAIXK
Yes,No,,,,,,Yes,,,,,Offer A,6010-DDPPW
Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,6013-BHCAW
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,None,6015-VVHHE
No,No,,,,,,Yes,,,,,None,6016-LVTJQ
No,No,,,,,,Yes,,,,,None,6016-NXBNJ
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,6017-PPLPX
,Yes,Cable,No,No,No,Yes,No,No,No,No,Yes,Offer E,6022-KOUQO
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,No,Offer C,6022-UGGSO
No,Yes,DSL,No,Yes,No,Yes,Yes,No,Yes,Yes,No,None,6023-GSSXW
Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Offer E,6023-YEBUP
Yes,No,,,,,,Yes,,,,,None,6024-RUGGH
,Yes,Cable,No,No,No,Yes,No,No,No,No,No,None,6029-CSMJE
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Offer C,6029-WTIPC
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Offer C,6030-REHUX
,Yes,Cable,No,No,No,Yes,No,No,No,No,No,None,6032-IGALN
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,6032-KRXXO
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,Yes,None,6034-YMTOB
,Yes,Cable,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Offer A,6034-ZRYCV
No,Yes,DSL,No,Yes,No,No,Yes,No,No,No,Yes,None,6035-BXTTY
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,None,6035-RIIOM
No,No,,,,,,Yes,,,,,None,6036-TTFYU
,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Offer C,6038-GCYEC
No,No,,,,,,Yes,,,,,None,6040-CGACY
No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,No,None,6047-SUHPR
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,6047-YHPVI
No,No,,,,,,Yes,,,,,Offer B,6048-NJXHX
Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,No,No,No,Offer E,6048-QBXKL
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,None,6048-UWKAL
Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,None,6050-FFXES
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer A,6050-IJRHS
No,No,,,,,,Yes,,,,,Offer B,6051-PTVNS
No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,No,No,None,6060-DRTNL
No,No,,,,,,Yes,,,,,Offer A,6060-QBMGV
No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,None,6061-GWWAV
No,No,,,,,,Yes,,,,,None,6061-PQHMK
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,Yes,None,6064-PUPMC
No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,None,6064-ZATLR
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,6067-NGCEU
No,No,,,,,,Yes,,,,,Offer D,6072-NUQCB
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,No,Offer B,6075-QMNRR
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Offer C,6075-SLNIL
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,6077-BDPXA
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,6078-VESFR
Yes,No,,,,,,Yes,,,,,Offer B,6080-LNESI
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,None,6080-TCMYC
No,No,,,,,,Yes,,,,,Offer D,6082-GLJIX
No,No,,,,,,Yes,,,,,Offer D,6082-OQFBA
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Yes,No,Offer E,6086-ESGRL
Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Yes,Yes,No,Offer D,6087-MVHJH
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Offer A,6087-YPWHO
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,None,6088-BXMRG
No,Yes,Cable,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Offer C,6092-QZVPP
No,Yes,Cable,Yes,No,Yes,Yes,Yes,No,No,No,No,Offer A,6094-ZIVKX
Yes,No,,,,,,Yes,,,,,None,6096-EGVTU
Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Offer A,6097-EQISJ
No,No,,,,,,Yes,,,,,None,6100-FJZDG
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer D,6100-QQHEB
No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Offer E,6101-IMRMM
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,Offer C,6103-BOCOU
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,None,6103-LIANB
No,Yes,DSL,Yes,No,No,No,Yes,No,No,No,Yes,Offer B,6103-QCKFX
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Offer E,6108-OQZDQ
No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,No,No,Offer E,6110-OHIHY
No,No,,,,,,Yes,,,,,Offer D,6112-KTHFQ
,Yes,Cable,Yes,Yes,No,Yes,No,No,No,No,Yes,None,6114-TCFID
,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,None,6115-ZTBFQ
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer C,6116-RFVHN
,Yes,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Offer B,6119-SPUDB
No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Offer B,6120-RJKLU
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Offer B,6121-TNHBO
No,No,,,,,,Yes,,,,,None,6121-VZNQB
,Yes,Cable,Yes,No,No,Yes,No,No,No,No,Yes,None,6122-EFVKN
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,6122-LJADA
No,No,,,,,,Yes,,,,,None,6124-ACRHJ
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,None,6127-ISGTU
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,None,6127-IYJOZ
,Yes,Cable,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Offer B,6128-AQBMT
No,Yes,Cable,No,No,No,Yes,Yes,No,No,No,No,None,6128-CZOMY
,Yes,DSL,No,No,No,Yes,No,Yes,Yes,Yes,No,None,6128-DAFVY
Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,No,No,No,None,6131-FOYAS
No,No,,,,,,Yes,,,,,None,6131-IUNXN
No,No,,,,,,Yes,,,,,Offer D,6131-JLWZM
,Yes,DSL,No,No,Yes,No,No,No,No,No,Yes,Offer D,6133-OZILE
Yes,No,,,,,,Yes,,,,,None,6134-KWTBV
Yes,Yes,Cable,Yes,No,No,Yes,Yes,No,No,No,No,Offer E,6135-OZQVA
,Yes,Cable,Yes,Yes,No,Yes,No,Yes,No,No,No,None,6137-MFAJN
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,No,No,None,6137-NICCO
No,No,,,,,,Yes,,,,,None,6139-ZZRBQ
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,6140-QNRQQ
No,No,,,,,,Yes,,,,,Offer E,6141-OOXUQ
No,Yes,Cable,No,No,No,Yes,Yes,No,No,No,No,None,6142-VSJQO
No,Yes,Cable,No,No,No,Yes,Yes,No,No,No,No,None,6143-JQKEA
No,Yes,Cable,No,No,No,Yes,Yes,No,No,No,No,Offer E,6145-NNPNO
No,No,,,,,,Yes,,,,,None,6147-CBCRA
Yes,Yes,DSL,Yes,No,No,No,Yes,No,No,No,Yes,Offer A,6152-ONASV
No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Offer C,6156-UZDLF
,Yes,DSL,No,No,No,Yes,No,No,No,No,No,Offer E,6158-DWPZT
,Yes,DSL,No,No,No,Yes,No,No,No,No,No,None,6158-HDPXZ
Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,6161-ERDGD
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,None,6161-UUUTA
,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,None,6164-HAQTX
No,No,,,,,,Yes,,,,,Offer E,6164-HXUGH
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,6166-ILMNY
,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Offer A,6166-YIPFO
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,6168-WFVVF
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,6168-YBYNP
No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,None,6169-PGNCD
No,No,,,,,,Yes,,,,,None,6169-PPETC
Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,No,Yes,None,6171-ZTVYB
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,Offer B,6172-FECYY
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,No,Offer A,6173-GOLSU
Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,No,Offer B,6173-ITPWD
,Yes,Cable,Yes,No,No,Yes,No,No,No,No,No,None,6174-NRBTZ
No,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,Yes,No,None,6175-IRFIT
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Offer A,6176-YJWAS
No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,None,6177-PEVRA
Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Offer D,6178-KFNHS
No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,None,6179-GJPSO
,Yes,DSL,No,No,No,Yes,No,No,No,No,No,Offer E,6180-YBIQI
Yes,No,,,,,,Yes,,,,,Offer A,6181-AXXYF
No,No,,,,,,Yes,,,,,None,6184-DYUOB
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,Offer E,6185-TASNN
No,No,,,,,,Yes,,,,,Offer C,6188-UXBBR
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,None,6194-HBGQN
No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,No,Yes,None,6195-MELTI
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,None,6196-HBOBZ
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer B,6198-PNNSZ
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer D,6198-RTPMF
Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,No,No,None,6198-ZFIOJ
Yes,No,,,,,,Yes,,,,,None,6199-IPCAO
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Yes,None,6199-IWKGC
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer D,6202-DYYFX
No,No,,,,,,Yes,,,,,None,6202-JVYEU
,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,None,6203-HBZPA
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,Yes,Offer E,6204-IEUXJ
,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Offer C,6207-WIOLX
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,No,No,None,6210-KBBPI
,Yes,DSL,No,Yes,No,No,No,Yes,No,No,Yes,None,6211-WHMYA
No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer B,6211-WWLTF
Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,No,None,6212-ATMLK
No,Yes,DSL,No,Yes,No,No,Yes,No,No,No,Yes,None,6214-EDAKZ
Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer D,6215-NQCPY
No,No,,,,,,Yes,,,,,None,6217-KDYWC
Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Offer D,6217-TOWGS
No,Yes,Cable,No,Yes,No,Yes,Yes,Yes,No,No,No,None,6218-KNUBD
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,6221-AVQYL
No,No,,,,,,Yes,,,,,None,6223-DHJGV
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer A,6227-FBDXH
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer D,6227-HWPWX
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,Offer E,6229-LSCKB
,Yes,Cable,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Offer B,6229-UOLQL
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Yes,No,No,None,6230-BSUXY
No,No,,,,,,Yes,,,,,None,6231-WFGFH
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Offer B,6233-HXJMX
Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No,Yes,None,6234-PFPXL
Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,None,6234-RAAPL
,Yes,DSL,No,Yes,No,Yes,No,No,No,No,No,Offer E,6235-VDHOM
,Yes,DSL,No,No,No,No,No,No,Yes,Yes,No,None,6240-EURKS
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,None,6242-FEGFD
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,None,6242-MBHPK
Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Offer B,6242-SGYTS
,Yes,DSL,No,No,No,No,No,Yes,Yes,Yes,No,None,6243-OZGFH
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,None,6244-BESBM
No,No,,,,,,Yes,,,,,Offer B,6248-BSHKG
Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,None,6248-TKCQV
No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Offer B,6250-CGGUN
Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,No,No,Yes,None,6252-DFGTK
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,None,6253-GNHWH
No,Yes,DSL,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,6253-WRFHY
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,6257-DTAYD
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,Yes,Offer E,6257-RJOHI
Yes,No,,,,,,Yes,,,,,Offer E,6258-NGCNG
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,6258-PVZWJ
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,Offer C,6259-WJQLC
No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,6260-ONULR
No,No,,,,,,Yes,,,,,None,6260-XLACS
No,Yes,Cable,No,Yes,Yes,Yes,Yes,No,No,No,No,None,6261-LHRTG
No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Offer B,6261-RCVNS
No,No,,,,,,Yes,,,,,None,6265-FRMTQ
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,No,No,None,6265-SXWBU
